date,ind,avgRET
31/03/2000,Agriculture,.076083094
31/03/2000,Food Products,-.10366961
31/03/2000,Candy & Soda,-.11916853
31/03/2000,Beer & Liquor,-.051286668
31/03/2000,Tobacco Products,-.00466207
31/03/2000,Recreation,-.017125128
31/03/2000,Entertainment,.25670558
31/03/2000,Printing and Publishing,.26580015
31/03/2000,Consumer Goods,-.053722236
31/03/2000,Apparel,-.079865493
31/03/2000,Healthcare,.12862873
31/03/2000,Medical Equipment,.20387433
31/03/2000,Pharmaceutical Products,.050199933
31/03/2000,Chemicals,-.071653426
31/03/2000,Rubber and Plastic Products,-.11973658
31/03/2000,Textiles,-.039219264
31/03/2000,Construction Materials,-.062731855
31/03/2000,Construction,.16887604
31/03/2000,Steel Works Etc,-.11000942
31/03/2000,Fabricated Products,-.056125823
31/03/2000,Machinery,-.12352064
31/03/2000,Electrical Equipment,.28060833
31/03/2000,Automobiles and Trucks,.025697572
31/03/2000,Aircraft,-.083950594
31/03/2000,"Shipbuilding, Railroad Equipment",-.021765616
31/03/2000,Defense,-.025654085
31/03/2000,Precious Metals,-.23389921
31/03/2000,Non-Metallic and Industrial Metal Mining,-.12209877
31/03/2000,Coal,-.17064328
31/03/2000,Petroleum and Natural Gas,.0077571734
31/03/2000,Utilities,-.044572514
31/03/2000,Communication,.10112275
31/03/2000,Personal Services,.087946378
31/03/2000,Business Services,.13611624
31/03/2000,Computer Hardware,.29816791
31/03/2000,Computer Software,.13532355
31/03/2000,Electronic Equipment,.39969751
31/03/2000,Measuring and Control Equipment,.38491163
31/03/2000,Business Supplies,-.12866451
31/03/2000,Shipping Containers,-.087229244
31/03/2000,Transportation,-.067790031
31/03/2000,Wholesale,.14860578
31/03/2000,Retail,-.0612101
31/03/2000,"Restaraunts, Hotels, Motels",.035826068
31/03/2000,Banking,-.059187658
31/03/2000,Insurance,-.03072992
31/03/2000,Real Estate,-.022727603
31/03/2000,Trading,.047262643
31/03/2000,Almost Nothing,-.18367618
30/06/2000,Agriculture,-.080347896
30/06/2000,Food Products,.10943545
30/06/2000,Candy & Soda,.21434483
30/06/2000,Beer & Liquor,.14735317
30/06/2000,Tobacco Products,.15395558
30/06/2000,Recreation,-.25639397
30/06/2000,Entertainment,-.14636749
30/06/2000,Printing and Publishing,-.045137644
30/06/2000,Consumer Goods,.039084993
30/06/2000,Apparel,.049292307
30/06/2000,Healthcare,.21948211
30/06/2000,Medical Equipment,.18118435
30/06/2000,Pharmaceutical Products,.23832715
30/06/2000,Chemicals,-.046026256
30/06/2000,Rubber and Plastic Products,.036696825
30/06/2000,Textiles,.040007658
30/06/2000,Construction Materials,-.065678693
30/06/2000,Construction,.028593078
30/06/2000,Steel Works Etc,-.011566195
30/06/2000,Fabricated Products,-.073589951
30/06/2000,Machinery,.11275142
30/06/2000,Electrical Equipment,.28893092
30/06/2000,Automobiles and Trucks,-.058864247
30/06/2000,Aircraft,.12153853
30/06/2000,"Shipbuilding, Railroad Equipment",.033253953
30/06/2000,Defense,-.012384909
30/06/2000,Precious Metals,-.064883746
30/06/2000,Non-Metallic and Industrial Metal Mining,-.06665872
30/06/2000,Coal,.11394171
30/06/2000,Petroleum and Natural Gas,.097701363
30/06/2000,Utilities,.090879373
30/06/2000,Communication,-.11553616
30/06/2000,Personal Services,.018505393
30/06/2000,Business Services,.0087235449
30/06/2000,Computer Hardware,-.022586843
30/06/2000,Computer Software,-.070617341
30/06/2000,Electronic Equipment,-.037117783
30/06/2000,Measuring and Control Equipment,.075326756
30/06/2000,Business Supplies,-.12074329
30/06/2000,Shipping Containers,.062179659
30/06/2000,Transportation,.11905622
30/06/2000,Wholesale,.041928262
30/06/2000,Retail,-.072318837
30/06/2000,"Restaraunts, Hotels, Motels",.011104209
30/06/2000,Banking,-.001528965
30/06/2000,Insurance,.079599231
30/06/2000,Real Estate,-.053695362
30/06/2000,Trading,-.016975172
30/06/2000,Almost Nothing,.37723121
30/09/2000,Agriculture,.016740417
30/09/2000,Food Products,.0076832525
30/09/2000,Candy & Soda,-.0019206944
30/09/2000,Beer & Liquor,.02216156
30/09/2000,Tobacco Products,.14990634
30/09/2000,Recreation,.079523228
30/09/2000,Entertainment,.037875328
30/09/2000,Printing and Publishing,.026704283
30/09/2000,Consumer Goods,.05462262
30/09/2000,Apparel,-.070609026
30/09/2000,Healthcare,.40608728
30/09/2000,Medical Equipment,.096544087
30/09/2000,Pharmaceutical Products,.023885611
30/09/2000,Chemicals,-.021412076
30/09/2000,Rubber and Plastic Products,-.057132285
30/09/2000,Textiles,.044627801
30/09/2000,Construction Materials,-.04369067
30/09/2000,Construction,.12331624
30/09/2000,Steel Works Etc,-.072178498
30/09/2000,Fabricated Products,-.066011786
30/09/2000,Machinery,-.17635435
30/09/2000,Electrical Equipment,-.081424616
30/09/2000,Automobiles and Trucks,.024141684
30/09/2000,Aircraft,.41956466
30/09/2000,"Shipbuilding, Railroad Equipment",.19651553
30/09/2000,Defense,.055382725
30/09/2000,Precious Metals,-.088823803
30/09/2000,Non-Metallic and Industrial Metal Mining,.09035939
30/09/2000,Coal,.15869243
30/09/2000,Petroleum and Natural Gas,.011935086
30/09/2000,Utilities,.10395737
30/09/2000,Communication,-.1436536
30/09/2000,Personal Services,.23464544
30/09/2000,Business Services,-.0048570433
30/09/2000,Computer Hardware,-.0012016206
30/09/2000,Computer Software,-.012854789
30/09/2000,Electronic Equipment,-.16153108
30/09/2000,Measuring and Control Equipment,-.032586962
30/09/2000,Business Supplies,-.024697773
30/09/2000,Shipping Containers,-.051635329
30/09/2000,Transportation,.026255134
30/09/2000,Wholesale,.16302899
30/09/2000,Retail,-.035545137
30/09/2000,"Restaraunts, Hotels, Motels",.02560054
30/09/2000,Banking,.17890865
30/09/2000,Insurance,.20908654
30/09/2000,Real Estate,.085455783
30/09/2000,Trading,.13463815
30/09/2000,Almost Nothing,-.064779915
31/12/2000,Agriculture,-.017074753
31/12/2000,Food Products,.2471294
31/12/2000,Candy & Soda,.10465771
31/12/2000,Beer & Liquor,.20857514
31/12/2000,Tobacco Products,.14901301
31/12/2000,Recreation,-.19928817
31/12/2000,Entertainment,-.22331588
31/12/2000,Printing and Publishing,-.19858198
31/12/2000,Consumer Goods,-.022150299
31/12/2000,Apparel,.16692148
31/12/2000,Healthcare,.26353344
31/12/2000,Medical Equipment,-.020367621
31/12/2000,Pharmaceutical Products,.044739928
31/12/2000,Chemicals,.068813048
31/12/2000,Rubber and Plastic Products,.085429676
31/12/2000,Textiles,-.12107187
31/12/2000,Construction Materials,.087765239
31/12/2000,Construction,.020790474
31/12/2000,Steel Works Etc,-.034234405
31/12/2000,Fabricated Products,.04854773
31/12/2000,Machinery,-.1630919
31/12/2000,Electrical Equipment,-.0078743193
31/12/2000,Automobiles and Trucks,-.1056232
31/12/2000,Aircraft,.034213368
31/12/2000,"Shipbuilding, Railroad Equipment",.21717027
31/12/2000,Defense,-.0023303162
31/12/2000,Precious Metals,.16307077
31/12/2000,Non-Metallic and Industrial Metal Mining,.066574566
31/12/2000,Coal,.030292237
31/12/2000,Petroleum and Natural Gas,.093698129
31/12/2000,Utilities,.090049714
31/12/2000,Communication,-.10115618
31/12/2000,Personal Services,.076586299
31/12/2000,Business Services,-.012092173
31/12/2000,Computer Hardware,-.27117112
31/12/2000,Computer Software,-.23007505
31/12/2000,Electronic Equipment,-.14547317
31/12/2000,Measuring and Control Equipment,.042310178
31/12/2000,Business Supplies,.207312
31/12/2000,Shipping Containers,.068036988
31/12/2000,Transportation,.17101255
31/12/2000,Wholesale,.13516966
31/12/2000,Retail,.071261063
31/12/2000,"Restaraunts, Hotels, Motels",.12667765
31/12/2000,Banking,.085893616
31/12/2000,Insurance,.16124459
31/12/2000,Real Estate,-.014373709
31/12/2000,Trading,-.0062380894
31/12/2000,Almost Nothing,.47337136
31/03/2001,Agriculture,.080279045
31/03/2001,Food Products,-.055766851
31/03/2001,Candy & Soda,-.15645604
31/03/2001,Beer & Liquor,-.045349456
31/03/2001,Tobacco Products,.10172552
31/03/2001,Recreation,-.03831071
31/03/2001,Entertainment,.12164515
31/03/2001,Printing and Publishing,-.044756528
31/03/2001,Consumer Goods,-.13054918
31/03/2001,Apparel,-.13099585
31/03/2001,Healthcare,-.11140212
31/03/2001,Medical Equipment,-.034324832
31/03/2001,Pharmaceutical Products,-.12867656
31/03/2001,Chemicals,.41131541
31/03/2001,Rubber and Plastic Products,-.039815504
31/03/2001,Textiles,.26330829
31/03/2001,Construction Materials,.024924735
31/03/2001,Construction,.072498061
31/03/2001,Steel Works Etc,.0060074185
31/03/2001,Fabricated Products,.062428564
31/03/2001,Machinery,.01689842
31/03/2001,Electrical Equipment,-.23176591
31/03/2001,Automobiles and Trucks,.10465927
31/03/2001,Aircraft,-.021447072
31/03/2001,"Shipbuilding, Railroad Equipment",-.16660631
31/03/2001,Defense,.19184636
31/03/2001,Precious Metals,-.028837699
31/03/2001,Non-Metallic and Industrial Metal Mining,-.051599927
31/03/2001,Coal,-.032048825
31/03/2001,Petroleum and Natural Gas,-.049170103
31/03/2001,Utilities,-.021318294
31/03/2001,Communication,-.044800881
31/03/2001,Personal Services,.10962206
31/03/2001,Business Services,-.08983852
31/03/2001,Computer Hardware,-.1525027
31/03/2001,Computer Software,-.021037251
31/03/2001,Electronic Equipment,-.20012304
31/03/2001,Measuring and Control Equipment,-.19734308
31/03/2001,Business Supplies,-.065676063
31/03/2001,Shipping Containers,.0095638772
31/03/2001,Transportation,-.013286344
31/03/2001,Wholesale,.0010292975
31/03/2001,Retail,.045834787
31/03/2001,"Restaraunts, Hotels, Motels",-.081027657
31/03/2001,Banking,-.087196201
31/03/2001,Insurance,-.14471334
31/03/2001,Real Estate,.018242532
31/03/2001,Trading,-.046817008
31/03/2001,Almost Nothing,-.043285716
30/06/2001,Agriculture,.10783929
30/06/2001,Food Products,.061290346
30/06/2001,Candy & Soda,.010636564
30/06/2001,Beer & Liquor,.047306262
30/06/2001,Tobacco Products,.091857187
30/06/2001,Recreation,.045149717
30/06/2001,Entertainment,.34765846
30/06/2001,Printing and Publishing,.13302802
30/06/2001,Consumer Goods,.1243049
30/06/2001,Apparel,.095623642
30/06/2001,Healthcare,.25196955
30/06/2001,Medical Equipment,.099159874
30/06/2001,Pharmaceutical Products,.060960613
30/06/2001,Chemicals,.020520378
30/06/2001,Rubber and Plastic Products,.10699865
30/06/2001,Textiles,.096936457
30/06/2001,Construction Materials,.13493493
30/06/2001,Construction,.08240629
30/06/2001,Steel Works Etc,.16425468
30/06/2001,Fabricated Products,.064686127
30/06/2001,Machinery,.12888893
30/06/2001,Electrical Equipment,.039498325
30/06/2001,Automobiles and Trucks,.048470072
30/06/2001,Aircraft,.0085734613
30/06/2001,"Shipbuilding, Railroad Equipment",.19368801
30/06/2001,Defense,-.10434934
30/06/2001,Precious Metals,.1241244
30/06/2001,Non-Metallic and Industrial Metal Mining,.13842143
30/06/2001,Coal,.099298202
30/06/2001,Petroleum and Natural Gas,.039141424
30/06/2001,Utilities,.0046380395
30/06/2001,Communication,-.0090287877
30/06/2001,Personal Services,.33809108
30/06/2001,Business Services,.19922887
30/06/2001,Computer Hardware,.15508766
30/06/2001,Computer Software,.31132865
30/06/2001,Electronic Equipment,.058876168
30/06/2001,Measuring and Control Equipment,.17187054
30/06/2001,Business Supplies,.078670442
30/06/2001,Shipping Containers,.092327535
30/06/2001,Transportation,.10886408
30/06/2001,Wholesale,.10823707
30/06/2001,Retail,.088962421
30/06/2001,"Restaraunts, Hotels, Motels",.1127126
30/06/2001,Banking,.073207445
30/06/2001,Insurance,.074724399
30/06/2001,Real Estate,.13589533
30/06/2001,Trading,.12511975
30/06/2001,Almost Nothing,.22674379
30/09/2001,Agriculture,-.11780225
30/09/2001,Food Products,.042703364
30/09/2001,Candy & Soda,.054855693
30/09/2001,Beer & Liquor,-.041414306
30/09/2001,Tobacco Products,.045235947
30/09/2001,Recreation,-.35888147
30/09/2001,Entertainment,-.18452767
30/09/2001,Printing and Publishing,-.26872441
30/09/2001,Consumer Goods,-.13610038
30/09/2001,Apparel,-.10042559
30/09/2001,Healthcare,.0013578834
30/09/2001,Medical Equipment,-.059733868
30/09/2001,Pharmaceutical Products,.001902307
30/09/2001,Chemicals,-.18799549
30/09/2001,Rubber and Plastic Products,-.10351425
30/09/2001,Textiles,-.16141108
30/09/2001,Construction Materials,-.13489182
30/09/2001,Construction,-.16834489
30/09/2001,Steel Works Etc,-.28358725
30/09/2001,Fabricated Products,-.10514084
30/09/2001,Machinery,-.29393563
30/09/2001,Electrical Equipment,-.36344194
30/09/2001,Automobiles and Trucks,-.28238007
30/09/2001,Aircraft,-.11775297
30/09/2001,"Shipbuilding, Railroad Equipment",.096999317
30/09/2001,Defense,-.12277158
30/09/2001,Precious Metals,-.040842012
30/09/2001,Non-Metallic and Industrial Metal Mining,-.17346564
30/09/2001,Coal,-.11586489
30/09/2001,Petroleum and Natural Gas,-.06385906
30/09/2001,Utilities,-.13956326
30/09/2001,Communication,-.1500465
30/09/2001,Personal Services,-.047614403
30/09/2001,Business Services,-.19884099
30/09/2001,Computer Hardware,-.29539046
30/09/2001,Computer Software,-.32696965
30/09/2001,Electronic Equipment,-.27404028
30/09/2001,Measuring and Control Equipment,-.24667501
30/09/2001,Business Supplies,-.028874509
30/09/2001,Shipping Containers,-.098311596
30/09/2001,Transportation,-.25398475
30/09/2001,Wholesale,-.012756459
30/09/2001,Retail,-.11078536
30/09/2001,"Restaraunts, Hotels, Motels",-.1373567
30/09/2001,Banking,-.095588431
30/09/2001,Insurance,-.10186401
30/09/2001,Real Estate,-.070232265
30/09/2001,Trading,-.13894939
30/09/2001,Almost Nothing,-.15389261
31/12/2001,Agriculture,.1591766
31/12/2001,Food Products,.13270874
31/12/2001,Candy & Soda,.012032172
31/12/2001,Beer & Liquor,.085827313
31/12/2001,Tobacco Products,.065825723
31/12/2001,Recreation,.27350357
31/12/2001,Entertainment,.3437795
31/12/2001,Printing and Publishing,.26300701
31/12/2001,Consumer Goods,.08931642
31/12/2001,Apparel,.16752034
31/12/2001,Healthcare,-.020651357
31/12/2001,Medical Equipment,.23495901
31/12/2001,Pharmaceutical Products,.013392558
31/12/2001,Chemicals,.055909034
31/12/2001,Rubber and Plastic Products,.23312142
