date,mgrsizeq,ind,weights
31/03/2000,1,Food Products,.018884655
31/03/2000,1,Beer & Liquor,.002631085
31/03/2000,1,Tobacco Products,.00034413318
31/03/2000,1,Recreation,.018746588
31/03/2000,1,Printing and Publishing,.0065273503
31/03/2000,1,Consumer Goods,.015938273
31/03/2000,1,Apparel,.0032587494
31/03/2000,1,"Healthcare, Medical Equipment, Pharmaceutical Products",.073181264
31/03/2000,1,Chemicals,.014020915
31/03/2000,1,Textiles,.00063033419
31/03/2000,1,Construction and Construction Materials,.012774201
31/03/2000,1,Steel Works Etc,.0094010876
31/03/2000,1,Fabricated Products and Machinery,.053584073
31/03/2000,1,Electrical Equipment,.015155082
31/03/2000,1,Automobiles and Trucks,.015063818
31/03/2000,1,"Aircraft, ships, and railroad equipment",.0044979258
31/03/2000,1,"Precious Metals, Non-Metallic, and Industrial Metal Mining",.0021066715
31/03/2000,1,Coal,.00023620996
31/03/2000,1,Petroleum and Natural Gas,.041683014
31/03/2000,1,Utilities,.015957294
31/03/2000,1,Communication,.068102717
31/03/2000,1,Personal and Business Services,.13980867
31/03/2000,1,Business Equipment,.20529293
31/03/2000,1,Business Supplies and Shipping Containers,.012373333
31/03/2000,1,Transportation,.010929896
31/03/2000,1,Wholesale,.03028211
31/03/2000,1,Retail,.058525402
31/03/2000,1,"Restaurants, Hotels, Motels",.0090238443
31/03/2000,1,"Banking, Insurance, Real Estate, Trading",.13387279
31/03/2000,1,Everything Else,.0071656271
31/03/2000,2,Food Products,.019170942
31/03/2000,2,Beer & Liquor,.0030946017
31/03/2000,2,Tobacco Products,.0010483357
31/03/2000,2,Recreation,.015611636
31/03/2000,2,Printing and Publishing,.0052061947
31/03/2000,2,Consumer Goods,.014825159
31/03/2000,2,Apparel,.0031824342
31/03/2000,2,"Healthcare, Medical Equipment, Pharmaceutical Products",.066480532
31/03/2000,2,Chemicals,.010694404
31/03/2000,2,Textiles,.00032374807
31/03/2000,2,Construction and Construction Materials,.012080656
31/03/2000,2,Steel Works Etc,.0095176324
31/03/2000,2,Fabricated Products and Machinery,.054804176
31/03/2000,2,Electrical Equipment,.012404351
31/03/2000,2,Automobiles and Trucks,.017014874
31/03/2000,2,"Aircraft, ships, and railroad equipment",.0042036371
31/03/2000,2,"Precious Metals, Non-Metallic, and Industrial Metal Mining",.0036713043
31/03/2000,2,Coal,.0000524768
31/03/2000,2,Petroleum and Natural Gas,.036171824
31/03/2000,2,Utilities,.01566918
31/03/2000,2,Communication,.066272423
31/03/2000,2,Personal and Business Services,.12942111
31/03/2000,2,Business Equipment,.21985435
31/03/2000,2,Business Supplies and Shipping Containers,.0098081399
31/03/2000,2,Transportation,.0094265426
31/03/2000,2,Wholesale,.031021096
31/03/2000,2,Retail,.060013544
31/03/2000,2,"Restaurants, Hotels, Motels",.0091064153
31/03/2000,2,"Banking, Insurance, Real Estate, Trading",.15252867
31/03/2000,2,Everything Else,.0073196436
31/03/2000,3,Food Products,.018471425
31/03/2000,3,Beer & Liquor,.0033816479
31/03/2000,3,Tobacco Products,.00094388163
31/03/2000,3,Recreation,.020264868
31/03/2000,3,Printing and Publishing,.0049247476
31/03/2000,3,Consumer Goods,.014847747
31/03/2000,3,Apparel,.0017086706
31/03/2000,3,"Healthcare, Medical Equipment, Pharmaceutical Products",.067148671
31/03/2000,3,Chemicals,.018162845
31/03/2000,3,Textiles,.0001730715
31/03/2000,3,Construction and Construction Materials,.009545858
31/03/2000,3,Steel Works Etc,.0082991188
31/03/2000,3,Fabricated Products and Machinery,.052598488
