date,mgrsizeq,ind,weights
31/03/2000,1,Agriculture,.00088734843
31/03/2000,1,Food Products,.0061017745
31/03/2000,1,Candy & Soda,.011496132
31/03/2000,1,Beer & Liquor,.0025032489
31/03/2000,1,Tobacco Products,.00034413318
31/03/2000,1,Recreation,.0022594223
31/03/2000,1,Entertainment,.0095863827
31/03/2000,1,Printing and Publishing,.0056561688
31/03/2000,1,Consumer Goods,.056339841
31/03/2000,1,Apparel,.0032719944
31/03/2000,1,Healthcare,.0048377374
31/03/2000,1,Medical Equipment,.010615491
31/03/2000,1,Pharmaceutical Products,.068847977
31/03/2000,1,Chemicals,.016793748
31/03/2000,1,Rubber and Plastic Products,.003865608
31/03/2000,1,Textiles,.00064172002
31/03/2000,1,Construction Materials,.0090635438
31/03/2000,1,Construction,.0023112067
31/03/2000,1,Steel Works Etc,.0044970326
31/03/2000,1,Fabricated Products,.0005305438
31/03/2000,1,Machinery,.017618556
31/03/2000,1,Electrical Equipment,.012937906
31/03/2000,1,Automobiles and Trucks,.011142736
31/03/2000,1,Aircraft,.0028190776
31/03/2000,1,"Shipbuilding, Railroad Equipment",.0024393774
31/03/2000,1,Defense,.000084926542
31/03/2000,1,Precious Metals,.001281081
31/03/2000,1,Non-Metallic and Industrial Metal Mining,.0020776954
31/03/2000,1,Coal,.00023620996
31/03/2000,1,Petroleum and Natural Gas,.0472789
31/03/2000,1,Utilities,.013591709
31/03/2000,1,Communication,.070035569
31/03/2000,1,Personal Services,.0034797934
31/03/2000,1,Business Services,.032567784
31/03/2000,1,Computer Hardware,.072685525
31/03/2000,1,Computer Software,.11137439
31/03/2000,1,Electronic Equipment,.12390676
31/03/2000,1,Measuring and Control Equipment,.0086089941
31/03/2000,1,Business Supplies,.011195776
31/03/2000,1,Shipping Containers,.0013193655
31/03/2000,1,Transportation,.011061685
31/03/2000,1,Wholesale,.023819596
31/03/2000,1,Retail,.056497477
31/03/2000,1,"Restaraunts, Hotels, Motels",.0093237441
31/03/2000,1,Banking,.052222524
31/03/2000,1,Insurance,.023486901
31/03/2000,1,Real Estate,.0018568537
31/03/2000,1,Trading,.052727755
31/03/2000,1,Almost Nothing,.0018703287
31/03/2000,2,Agriculture,.00036610826
31/03/2000,2,Food Products,.0064715934
31/03/2000,2,Candy & Soda,.010945091
31/03/2000,2,Beer & Liquor,.0031306583
31/03/2000,2,Tobacco Products,.0010483357
31/03/2000,2,Recreation,.0030079433
31/03/2000,2,Entertainment,.0075567435
31/03/2000,2,Printing and Publishing,.0045551108
31/03/2000,2,Consumer Goods,.05452282
31/03/2000,2,Apparel,.0030181094
31/03/2000,2,Healthcare,.0039645899
31/03/2000,2,Medical Equipment,.0099901045
31/03/2000,2,Pharmaceutical Products,.064875476
31/03/2000,2,Chemicals,.012776342
31/03/2000,2,Rubber and Plastic Products,.003335021
31/03/2000,2,Textiles,.00032917364
31/03/2000,2,Construction Materials,.0082149049
31/03/2000,2,Construction,.0024844105
31/03/2000,2,Steel Works Etc,.0043315738
31/03/2000,2,Fabricated Products,.00055900082
31/03/2000,2,Machinery,.020039288
31/03/2000,2,Electrical Equipment,.0096254554
31/03/2000,2,Automobiles and Trucks,.014561055
31/03/2000,2,Aircraft,.0049402136
31/03/2000,2,"Shipbuilding, Railroad Equipment",.0013735989
31/03/2000,2,Defense,.00018139712
31/03/2000,2,Precious Metals,.00063642807
31/03/2000,2,Non-Metallic and Industrial Metal Mining,.0089987349
31/03/2000,2,Coal,.000053173513
31/03/2000,2,Petroleum and Natural Gas,.040938303
31/03/2000,2,Utilities,.013313279
31/03/2000,2,Communication,.071035631
31/03/2000,2,Personal Services,.0033980457
31/03/2000,2,Business Services,.031835627
31/03/2000,2,Computer Hardware,.078492366
31/03/2000,2,Computer Software,.10342226
31/03/2000,2,Electronic Equipment,.12517947
31/03/2000,2,Measuring and Control Equipment,.013015447
31/03/2000,2,Business Supplies,.010123176
31/03/2000,2,Shipping Containers,.00068502623
31/03/2000,2,Transportation,.010379273
31/03/2000,2,Wholesale,.019489102
31/03/2000,2,Retail,.058614224
31/03/2000,2,"Restaraunts, Hotels, Motels",.009684952
31/03/2000,2,Banking,.053498838
31/03/2000,2,Insurance,.023067653
31/03/2000,2,Real Estate,.001013114
31/03/2000,2,Trading,.065903783
31/03/2000,2,Almost Nothing,.0010180114
31/03/2000,3,Agriculture,.00028202232
31/03/2000,3,Food Products,.0055719628
31/03/2000,3,Candy & Soda,.011929085
31/03/2000,3,Beer & Liquor,.003399896
31/03/2000,3,Tobacco Products,.0010281048
31/03/2000,3,Recreation,.0022068585
31/03/2000,3,Entertainment,.011421908
31/03/2000,3,Printing and Publishing,.0049552666
31/03/2000,3,Consumer Goods,.053102829
31/03/2000,3,Apparel,.0015648477
31/03/2000,3,Healthcare,.0017098479
31/03/2000,3,Medical Equipment,.0094407201
31/03/2000,3,Pharmaceutical Products,.062980451
31/03/2000,3,Chemicals,.020426981
31/03/2000,3,Rubber and Plastic Products,.0038151501
31/03/2000,3,Textiles,.00017308463
31/03/2000,3,Construction Materials,.0069755027
31/03/2000,3,Construction,.0012593615
31/03/2000,3,Steel Works Etc,.0026357861
31/03/2000,3,Fabricated Products,.00026744397
31/03/2000,3,Machinery,.018130593
31/03/2000,3,Electrical Equipment,.0090087624
31/03/2000,3,Automobiles and Trucks,.012480626
31/03/2000,3,Aircraft,.0028610262
31/03/2000,3,"Shipbuilding, Railroad Equipment",.0023201304
31/03/2000,3,Defense,.00003030169
31/03/2000,3,Precious Metals,.00068912166
31/03/2000,3,Non-Metallic and Industrial Metal Mining,.0023212859
31/03/2000,3,Coal,.0002381587
31/03/2000,3,Petroleum and Natural Gas,.049413607
31/03/2000,3,Utilities,.013240189
31/03/2000,3,Communication,.060388148
31/03/2000,3,Personal Services,.0017346535
31/03/2000,3,Business Services,.02896362
31/03/2000,3,Computer Hardware,.096170075
31/03/2000,3,Computer Software,.09677159
31/03/2000,3,Electronic Equipment,.12776369
31/03/2000,3,Measuring and Control Equipment,.0083702188
31/03/2000,3,Business Supplies,.0089086611
31/03/2000,3,Shipping Containers,.0013868394
31/03/2000,3,Transportation,.011765335
31/03/2000,3,Wholesale,.022564562
31/03/2000,3,Retail,.068282239
31/03/2000,3,"Restaraunts, Hotels, Motels",.010429394
31/03/2000,3,Banking,.050754964
31/03/2000,3,Insurance,.034062643
31/03/2000,3,Real Estate,.0011742676
31/03/2000,3,Trading,.052035857
31/03/2000,3,Almost Nothing,.0025923834
31/03/2000,4,Agriculture,.00036430918
31/03/2000,4,Food Products,.013712383
31/03/2000,4,Candy & Soda,.014724089
31/03/2000,4,Beer & Liquor,.0040455349
31/03/2000,4,Tobacco Products,.0016453568
31/03/2000,4,Recreation,.0030562566
31/03/2000,4,Entertainment,.0085099293
31/03/2000,4,Printing and Publishing,.0030508139
31/03/2000,4,Consumer Goods,.062944032
31/03/2000,4,Apparel,.003293687
31/03/2000,4,Healthcare,.0020499439
31/03/2000,4,Medical Equipment,.0092674
31/03/2000,4,Pharmaceutical Products,.082381554
31/03/2000,4,Chemicals,.017266925
31/03/2000,4,Rubber and Plastic Products,.0025915501
31/03/2000,4,Textiles,.00035237742
31/03/2000,4,Construction Materials,.010231383
31/03/2000,4,Construction,.0018863018
31/03/2000,4,Steel Works Etc,.0032727597
31/03/2000,4,Fabricated Products,.00040754175
31/03/2000,4,Machinery,.020333873
31/03/2000,4,Electrical Equipment,.0091289887
31/03/2000,4,Automobiles and Trucks,.015126318
31/03/2000,4,Aircraft,.0049484
31/03/2000,4,"Shipbuilding, Railroad Equipment",.0010990582
31/03/2000,4,Defense,.0001184045
31/03/2000,4,Precious Metals,.0013866146
31/03/2000,4,Non-Metallic and Industrial Metal Mining,.0029830534
31/03/2000,4,Coal,.000036162808
31/03/2000,4,Petroleum and Natural Gas,.045992184
31/03/2000,4,Utilities,.012980467
31/03/2000,4,Communication,.05491776
31/03/2000,4,Personal Services,.0016547425
31/03/2000,4,Business Services,.022783801
31/03/2000,4,Computer Hardware,.078563541
31/03/2000,4,Computer Software,.10811269
31/03/2000,4,Electronic Equipment,.13204727
31/03/2000,4,Measuring and Control Equipment,.0090000732
31/03/2000,4,Business Supplies,.008174194
31/03/2000,4,Shipping Containers,.0015871816
31/03/2000,4,Transportation,.01334539
31/03/2000,4,Wholesale,.018423682
31/03/2000,4,Retail,.063033625
31/03/2000,4,"Restaraunts, Hotels, Motels",.011114508
31/03/2000,4,Banking,.045881033
31/03/2000,4,Insurance,.023413604
31/03/2000,4,Real Estate,.00051245303
31/03/2000,4,Trading,.046980713
31/03/2000,4,Almost Nothing,.0012661086
31/03/2000,5,Agriculture,.00031277078
31/03/2000,5,Food Products,.0093083428
31/03/2000,5,Candy & Soda,.037392639
31/03/2000,5,Beer & Liquor,.0049070888
31/03/2000,5,Tobacco Products,.00065886974
31/03/2000,5,Recreation,.0018639328
31/03/2000,5,Entertainment,.0089671044
31/03/2000,5,Printing and Publishing,.0037622375
