date,mgrsizeq,avgRET
31/12/2004,4,.11788781
31/12/2004,5,.11781568
31/12/2004,6,.11792073
31/12/2004,7,.11787751
31/12/2004,8,.11801399
31/12/2004,9,.11761282
31/12/2004,10,.11867742
31/03/2005,1,-.00067058078
31/03/2005,2,-.00060504739
31/03/2005,3,-.00075081742
31/03/2005,4,-.00075081678
31/03/2005,5,-.00062948902
31/03/2005,6,-.00080082222
31/03/2005,7,-.00079521997
31/03/2005,8,-.0012392545
31/03/2005,9,-.0012865613
31/03/2005,10,-.00063441088
30/06/2005,1,.034553993
30/06/2005,2,.03399837
30/06/2005,3,.035157703
30/06/2005,4,.035183601
30/06/2005,5,.03494041
30/06/2005,6,.034649048
30/06/2005,7,.035181895
30/06/2005,8,.035143845
30/06/2005,9,.033954382
30/06/2005,10,.034221645
30/09/2005,1,.16755992
30/09/2005,2,.16784373
30/09/2005,3,.16762419
30/09/2005,4,.16761814
30/09/2005,5,.17026022
30/09/2005,6,.16862218
30/09/2005,7,.16760905
30/09/2005,8,.16499065
30/09/2005,9,.1702137
30/09/2005,10,.16792893
31/12/2005,1,.013784783
31/12/2005,2,.013932812
31/12/2005,3,.013772849
31/12/2005,4,.01405399
31/12/2005,5,.015123066
31/12/2005,6,.015524559
31/12/2005,7,.013809825
31/12/2005,8,.016071033
31/12/2005,9,.0212675
31/12/2005,10,.013800346
31/03/2006,1,.10092058
31/03/2006,2,.10067873
31/03/2006,3,.10076185
31/03/2006,4,.10067511
31/03/2006,5,.10067501
31/03/2006,6,.10293563
31/03/2006,7,.10083175
31/03/2006,8,.10295589
31/03/2006,9,.087673523
31/03/2006,10,.10078815
30/06/2006,1,-.00004423951
30/06/2006,2,.00012477656
30/06/2006,3,.00022922321
30/06/2006,4,.00031076683
30/06/2006,5,.00036727119
30/06/2006,6,.0019848733
30/06/2006,7,-.0001235856
30/06/2006,8,.00035129886
30/06/2006,9,-.0027963263
30/06/2006,10,-.000052906587
30/09/2006,1,.079283275
30/09/2006,2,.079379223
30/09/2006,3,.079476304
30/09/2006,4,.079337142
30/09/2006,5,.079375751
30/09/2006,6,.079202786
30/09/2006,7,.079596952
30/09/2006,8,.079756849
30/09/2006,9,.075887792
30/09/2006,10,.079105265
31/12/2006,1,.15318234
31/12/2006,2,.15355362
31/12/2006,3,.15332982
31/12/2006,4,.15331607
31/12/2006,5,.15309699
31/12/2006,6,.1481576
31/12/2006,7,.15330581
31/12/2006,8,.15314785
31/12/2006,9,.13217182
31/12/2006,10,.15352713
31/03/2007,1,.004150704
31/03/2007,2,.0041050608
31/03/2007,3,.0039856043
31/03/2007,4,.0039188741
31/03/2007,5,.003349208
31/03/2007,6,.0043519521
31/03/2007,7,.0040240278
31/03/2007,8,.004400603
31/03/2007,9,.028958298
31/03/2007,10,.00054259074
30/06/2007,1,.14858948
30/06/2007,2,.14868723
30/06/2007,3,.14873582
30/06/2007,4,.14870545
30/06/2007,5,.14860223
30/06/2007,6,.14914098
30/06/2007,7,.14861204
30/06/2007,8,.14782807
30/06/2007,9,.14577658
30/06/2007,10,.15032406
30/09/2007,1,.12903525
30/09/2007,2,.12938531
30/09/2007,3,.12928419
30/09/2007,4,.12922038
30/09/2007,5,.12373744
30/09/2007,6,.12921126
30/09/2007,7,.12928469
30/09/2007,8,.12881215
30/09/2007,9,.12562722
30/09/2007,10,.12359993
31/12/2007,1,.0013831815
31/12/2007,2,.0014495928
31/12/2007,3,.0014267858
31/12/2007,4,.0015422194
31/12/2007,5,.0013784214
31/12/2007,6,.0014517691
31/12/2007,7,.0014816225
31/12/2007,8,.0068137627
31/12/2007,9,.006956418
31/12/2007,10,.0027838238
31/03/2008,1,-.061344091
31/03/2008,2,-.061360803
31/03/2008,3,-.061355945
31/03/2008,4,-.061363541
31/03/2008,5,-.061109114
31/03/2008,6,-.061347451
31/03/2008,7,-.061466455
31/03/2008,8,-.081376269
31/03/2008,9,-.061536584
31/03/2008,10,-.060857601
30/06/2008,1,-.015265916
30/06/2008,2,-.015053677
30/06/2008,3,-.015255216
30/06/2008,4,-.015221611
30/06/2008,5,-.015055371
30/06/2008,6,-.015279154
30/06/2008,7,-.014862673
30/06/2008,8,-.010684769
30/06/2008,9,-.015075902
30/06/2008,10,-.015246152
30/09/2008,1,-.11210253
30/09/2008,2,-.11217185
30/09/2008,3,-.11209156
30/09/2008,4,-.11210963
30/09/2008,5,-.11188088
30/09/2008,6,-.11208366
30/09/2008,7,-.11137833
30/09/2008,8,-.113204
30/09/2008,9,-.11205764
30/09/2008,10,-.11190073
31/12/2008,1,-.17443565
31/12/2008,2,-.17436323
31/12/2008,3,-.17445822
31/12/2008,4,-.17453723
31/12/2008,5,-.17390738
31/12/2008,6,-.17459473
31/12/2008,7,-.17402574
31/12/2008,8,-.17624214
31/12/2008,9,-.17521363
31/12/2008,10,-.17465106
31/03/2009,1,-.028342465
31/03/2009,2,-.028311195
31/03/2009,3,-.028466497
31/03/2009,4,-.028154904
31/03/2009,5,-.027032983
31/03/2009,6,-.028263954
31/03/2009,7,-.028230533
31/03/2009,8,-.041920327
31/03/2009,9,-.042516131
