date,ind,avgRET
31/03/2000,Food Products,-.11182354
31/03/2000,Beer & Liquor,-.051318672
31/03/2000,Tobacco Products,-.012159714
31/03/2000,Recreation,.19905946
31/03/2000,Printing and Publishing,-.0062786303
31/03/2000,Consumer Goods,-.24577251
31/03/2000,Apparel,-.069615781
31/03/2000,"Healthcare, Medical Equipment, Pharmaceutical Products",.09244021
31/03/2000,Chemicals,-.10617802
31/03/2000,Textiles,-.04250361
31/03/2000,Construction and Construction Materials,-.072733678
31/03/2000,Steel Works Etc,.13650537
31/03/2000,Fabricated Products and Machinery,.023223357
31/03/2000,Electrical Equipment,.30956504
31/03/2000,Automobiles and Trucks,.017754029
31/03/2000,"Aircraft, ships, and railroad equipment",-.078140438
31/03/2000,"Precious Metals, Non-Metallic, and Industrial Metal Mining",-.20722556
31/03/2000,Coal,-.16678281
31/03/2000,Petroleum and Natural Gas,.04033516
31/03/2000,Utilities,-.011144009
31/03/2000,Communication,.091261491
31/03/2000,Personal and Business Services,.13920665
31/03/2000,Business Equipment,.28142926
31/03/2000,Business Supplies and Shipping Containers,-.12876533
31/03/2000,Transportation,-.06801118
31/03/2000,Wholesale,.021568559
31/03/2000,Retail,-.050189987
31/03/2000,"Restaurants, Hotels, Motels",.036983259
31/03/2000,"Banking, Insurance, Real Estate, Trading",-.011686085
31/03/2000,Everything Else,-.077079006
30/06/2000,Food Products,.11537372
30/06/2000,Beer & Liquor,.14663939
30/06/2000,Tobacco Products,.15395558
30/06/2000,Recreation,-.16525008
30/06/2000,Printing and Publishing,-.036805995
30/06/2000,Consumer Goods,.070118994
30/06/2000,Apparel,.059837282
30/06/2000,"Healthcare, Medical Equipment, Pharmaceutical Products",.2225149
30/06/2000,Chemicals,.019139348
30/06/2000,Textiles,.043860018
30/06/2000,Construction and Construction Materials,-.043265261
30/06/2000,Steel Works Etc,.11076488
30/06/2000,Fabricated Products and Machinery,.014161674
30/06/2000,Electrical Equipment,.23416555
30/06/2000,Automobiles and Trucks,-.073843457
30/06/2000,"Aircraft, ships, and railroad equipment",.075727984
30/06/2000,"Precious Metals, Non-Metallic, and Industrial Metal Mining",-.053798318
30/06/2000,Coal,.13113426
30/06/2000,Petroleum and Natural Gas,.060607642
30/06/2000,Utilities,.096478753
30/06/2000,Communication,-.12053376
30/06/2000,Personal and Business Services,-.041088112
30/06/2000,Business Equipment,-.0029850525
30/06/2000,Business Supplies and Shipping Containers,-.093095399
30/06/2000,Transportation,.11732578
30/06/2000,Wholesale,.20454957
30/06/2000,Retail,-.068354845
30/06/2000,"Restaurants, Hotels, Motels",.0089662224
30/06/2000,"Banking, Insurance, Real Estate, Trading",.010754068
30/06/2000,Everything Else,.17236984
30/09/2000,Food Products,.019220596
30/09/2000,Beer & Liquor,.022301055
30/09/2000,Tobacco Products,.14990634
30/09/2000,Recreation,.044035167
30/09/2000,Printing and Publishing,.010253333
30/09/2000,Consumer Goods,-.00492302
30/09/2000,Apparel,-.067895927
30/09/2000,"Healthcare, Medical Equipment, Pharmaceutical Products",.061145853
30/09/2000,Chemicals,.016057853
30/09/2000,Textiles,.049454357
30/09/2000,Construction and Construction Materials,-.050781965
30/09/2000,Steel Works Etc,-.044129193
30/09/2000,Fabricated Products and Machinery,.041377228
30/09/2000,Electrical Equipment,.0037359844
30/09/2000,Automobiles and Trucks,.023074418
30/09/2000,"Aircraft, ships, and railroad equipment",.38287532
30/09/2000,"Precious Metals, Non-Metallic, and Industrial Metal Mining",-.062920511
30/09/2000,Coal,.14175288
30/09/2000,Petroleum and Natural Gas,.072148234
30/09/2000,Utilities,.12507753
30/09/2000,Communication,-.14620067
30/09/2000,Personal and Business Services,-.0081495587
30/09/2000,Business Equipment,-.095617622
30/09/2000,Business Supplies and Shipping Containers,-.024631994
30/09/2000,Transportation,.021080108
30/09/2000,Wholesale,.063584737
30/09/2000,Retail,-.031583883
30/09/2000,"Restaurants, Hotels, Motels",.019694323
30/09/2000,"Banking, Insurance, Real Estate, Trading",.17008807
30/09/2000,Everything Else,-.071570456
31/12/2000,Food Products,.19519274
31/12/2000,Beer & Liquor,.20913944
31/12/2000,Tobacco Products,.14901301
31/12/2000,Recreation,-.2207339
31/12/2000,Printing and Publishing,.0013858665
31/12/2000,Consumer Goods,.090422675
31/12/2000,Apparel,.17183247
31/12/2000,"Healthcare, Medical Equipment, Pharmaceutical Products",.049804755
31/12/2000,Chemicals,.078958601
31/12/2000,Textiles,-.12642556
31/12/2000,Construction and Construction Materials,.075332902
31/12/2000,Steel Works Etc,-.11735655
31/12/2000,Fabricated Products and Machinery,-.11751867
31/12/2000,Electrical Equipment,-.033874087
31/12/2000,Automobiles and Trucks,-.084725
31/12/2000,"Aircraft, ships, and railroad equipment",.086182751
31/12/2000,"Precious Metals, Non-Metallic, and Industrial Metal Mining",.11749037
31/12/2000,Coal,.01713274
31/12/2000,Petroleum and Natural Gas,.023530334
31/12/2000,Utilities,.10232349
31/12/2000,Communication,-.1008486
31/12/2000,Personal and Business Services,-.17370872
31/12/2000,Business Equipment,-.17175446
31/12/2000,Business Supplies and Shipping Containers,.17594753
31/12/2000,Transportation,.17555624
31/12/2000,Wholesale,.088313475
31/12/2000,Retail,.067670591
31/12/2000,"Restaurants, Hotels, Motels",.12706125
31/12/2000,"Banking, Insurance, Real Estate, Trading",.061293039
31/12/2000,Everything Else,.21021563
31/03/2001,Food Products,-.12901893
31/03/2001,Beer & Liquor,-.045572508
31/03/2001,Tobacco Products,.10172552
31/03/2001,Recreation,-.0035004234
31/03/2001,Printing and Publishing,-.071324058
31/03/2001,Consumer Goods,-.094900429
31/03/2001,Apparel,-.12861079
31/03/2001,"Healthcare, Medical Equipment, Pharmaceutical Products",-.11261214
31/03/2001,Chemicals,.30818647
31/03/2001,Textiles,.26801667
31/03/2001,Construction and Construction Materials,.011446448
31/03/2001,Steel Works Etc,-.077707902
31/03/2001,Fabricated Products and Machinery,-.07583978
31/03/2001,Electrical Equipment,-.24348916
31/03/2001,Automobiles and Trucks,.097019635
31/03/2001,"Aircraft, ships, and railroad equipment",-.11395842
31/03/2001,"Precious Metals, Non-Metallic, and Industrial Metal Mining",-.042170566
31/03/2001,Coal,-.040199131
31/03/2001,Petroleum and Natural Gas,-.055165004
31/03/2001,Utilities,-.026898755
31/03/2001,Communication,-.045385648
31/03/2001,Personal and Business Services,-.042019103
31/03/2001,Business Equipment,-.14215796
31/03/2001,Business Supplies and Shipping Containers,-.070721991
31/03/2001,Transportation,-.018305281
31/03/2001,Wholesale,-.038271535
31/03/2001,Retail,.022015898
31/03/2001,"Restaurants, Hotels, Motels",-.079082564
31/03/2001,"Banking, Insurance, Real Estate, Trading",-.084603257
31/03/2001,Everything Else,.011908351
30/06/2001,Food Products,.071590774
30/06/2001,Beer & Liquor,.047426481
30/06/2001,Tobacco Products,.091857187
30/06/2001,Recreation,.10813964
30/06/2001,Printing and Publishing,.084236711
30/06/2001,Consumer Goods,.065107197
30/06/2001,Apparel,.11366215
30/06/2001,"Healthcare, Medical Equipment, Pharmaceutical Products",.074253313
30/06/2001,Chemicals,.019280212
30/06/2001,Textiles,.095647968
30/06/2001,Construction and Construction Materials,.038652569
30/06/2001,Steel Works Etc,.035917874
30/06/2001,Fabricated Products and Machinery,.16295364
30/06/2001,Electrical Equipment,.12798384
30/06/2001,Automobiles and Trucks,.045242775
30/06/2001,"Aircraft, ships, and railroad equipment",.087940402
30/06/2001,"Precious Metals, Non-Metallic, and Industrial Metal Mining",.13061364
30/06/2001,Coal,.10051087
30/06/2001,Petroleum and Natural Gas,.054547295
30/06/2001,Utilities,.036261816
30/06/2001,Communication,.026247533
