date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,char
1992-12-01,0.0191933461,0.0278660894,0.0203798107,0.0309111251,0.0047895825,-0.00729431,0.0204722966,0.0266557585,0.0345275811,0.0173542632,1
1993-01-01,0.039338166,0.0171234663,0.0046615316,0.0259470085,0.0144674868,0.0175770683,0.0159414026,-0.020367272,0.0170800775,0.0087209989,1
1993-02-01,0.0024740884,-0.005834508,-0.007513386,0.0110103587,0.019020806,0.0185699281,0.0247016382,-0.004173946,-0.003101706,-0.040499944,1
1993-03-01,0.0390740343,0.0234555941,0.0204003799,0.0248236623,0.029387295,0.0292675148,0.0396644435,0.0166074025,0.0121758693,0.0274811893,1
1993-04-01,-0.024303062,-0.02202103,-0.025657468,-0.010901265,-0.012822206,-0.019814024,-0.024597184,-0.04943344,-0.075392138,-0.017878323,1
1993-05-01,0.0327257337,0.0271194016,0.0183904805,0.0076429784,0.0343545008,0.0288408197,0.0257899364,0.0506984524,0.030921971,0.0577299326,1
1993-06-01,0.0078067884,-0.001299252,-0.017527148,-0.003260762,-0.002365072,0.0052455851,0.0180291516,0.0278626902,0.0254598571,0.0139976265,1
1993-07-01,0.0246841354,0.0078856923,0.0029791902,0.0095314149,0.0122073114,0.0112603687,-0.015224069,-0.025572172,-0.03481857,-0.016722239,1
1993-08-01,0.0562412302,0.0369495168,0.0386205401,0.028293764,0.0327510526,0.0387198054,0.0354844056,0.0502143549,0.0419374371,0.049209652,1
1993-09-01,0.0150784133,-0.007899038,0.0018118159,-0.000623298,-0.002714,-0.004769084,0.0003043236,0.0046677419,0.0054168882,0.0193940275,1
1993-10-01,0.020836074,-0.002680842,0.0057326415,0.0134579953,-0.00224897,0.0153314964,0.0183853402,0.0390158297,0.0087579063,0.0664664115,1
1993-11-01,-0.008241936,0.0119211385,0.0065617324,-0.01729369,-0.007683515,-0.031340594,-0.036795401,-0.034953136,-0.025361253,-0.017477675,1
1993-12-01,0.02062018,-0.000871393,0.0128820564,0.028792333,0.0254473442,0.018711038,0.0096135646,0.0287063125,0.026055333,0.0387272646,1
1994-01-01,0.0258372094,0.0237362881,0.0297986486,0.0141809363,0.0268365224,0.0446235264,0.0314530984,0.0367225376,0.0360969941,0.0392421025,1
1994-02-01,-0.018223493,-0.02438283,-0.026091576,-0.024142108,-0.038339889,-0.020789894,-0.01838818,-0.024956347,-0.029512526,-0.005969619,1
